"Mode","Index","Status","ExitCode","Capture","Screenshot"
"AlphaBlend","0","EXCEPTION;CLOSED","","NOT_CAPTURED","D:\HTC\avboit\TheForge_1.58_Baseline_Report\15_Transparency\Screenshots\UT_15_Transparency_DX12_AlphaBlend_UI_11.png"
"WeightedBlendedOIT","1","EXCEPTION;CLOSED","","NOT_CAPTURED","D:\HTC\avboit\TheForge_1.58_Baseline_Report\15_Transparency\Screenshots\UT_15_Transparency_DX12_WeightedBlendedOIT_UI_12.png"
"WeightedBlendedOITVolition","2","EXCEPTION;CLOSED","","NOT_CAPTURED","D:\HTC\avboit\TheForge_1.58_Baseline_Report\15_Transparency\Screenshots\UT_15_Transparency_DX12_WeightedBlendedOITVolition_UI_13.png"
"Phenomenological","3","EXCEPTION;CLOSED","","NOT_CAPTURED","D:\HTC\avboit\TheForge_1.58_Baseline_Report\15_Transparency\Screenshots\UT_15_Transparency_DX12_Phenomenological_UI_14.png"
"AdaptiveOIT","4","EXCEPTION;CLOSED","","NOT_CAPTURED","D:\HTC\avboit\TheForge_1.58_Baseline_Report\15_Transparency\Screenshots\UT_15_Transparency_DX12_AdaptiveOIT_UI_15.png"
