pattern,rawCoveragePixels,averageColorMedian,denominatorMedian,sumColorWeightMedian,opacityMedian,finalCoverageLinearRgbMedian,finalCoverageLinearRgbMean,png
A,15007,"[0.8, 0.2, 0.0]",0.625,"[0.5, 0.125, 0.0, 0.625]",0.7498619184760482,"[0.6724431569576875, 0.21223075741405523, 0.04091519690685319]","[0.677389809469291, 0.21260925441763764, 0.04156424066312786]",DX12_Mode5_1920x1080_Debug0_Dirlegacy_Depthreverse_correct_Mul1.0_Frame60_dbeb4094_Scenetwo_layer_Casetwo_a050_050_Ordernormal_Layerall_WeightlayerA.png
B,15007,"[0.2, 0.8, 0.0]",0.625,"[0.125, 0.5, 0.0, 0.625]",0.7498619184760482,"[0.22696587351009836, 0.6583748172794485, 0.04091519690685319]","[0.22996358636637035, 0.6598212734861332, 0.04156424066312786]",DX12_Mode5_1920x1080_Debug0_Dirlegacy_Depthreverse_correct_Mul1.0_Frame60_dbeb4094_Scenetwo_layer_Casetwo_a050_050_Ordernormal_Layerall_WeightlayerB.png
