scene,case,order,maskPixels,legacyMae,frontMae,legacyMax,frontMax,legacyFrontMae,frontImprovementRatio,frontBetter,targetSlices,reverseZ
same_slice,same_a050_050,normal,15007,0.0825479143393525,0.0825479143393525,0.08576850354761396,0.08576850354761396,0.0,0.0,False,32/32,32/32
same_slice,same_a050_050,reverse,15007,0.08246274122705491,0.08246274122705491,0.08603556946746328,0.08603556946746328,0.0,0.0,False,32/32,32/32
three_layer,three_a020_060_080,perm012,15007,0.3545929182922755,0.007794728290839837,0.38788863554291025,0.13739043868427894,0.34912107140663295,0.9780178117251204,True,48/32/16,48/32/16
three_layer,three_a020_060_080,perm021,15007,0.3545929182922755,0.007794728290839837,0.38788863554291025,0.13739043868427894,0.34912107140663295,0.9780178117251204,True,48/32/16,48/32/16
three_layer,three_a020_060_080,perm102,15007,0.35459067652330634,0.007791227777531609,0.38788863554291025,0.13739043868427894,0.34912190460454334,0.9780275447343312,True,48/32/16,48/32/16
three_layer,three_a020_060_080,perm120,15007,0.35459067652330634,0.007791227777531609,0.38788863554291025,0.13739043868427894,0.34912190460454334,0.9780275447343312,True,48/32/16,48/32/16
three_layer,three_a020_060_080,perm201,15007,0.35458139802838123,0.007786929734978275,0.38788863554291025,0.13831210805140817,0.349114497718791,0.9780390912262267,True,48/32/16,48/32/16
three_layer,three_a020_060_080,perm210,15007,0.35458139802838123,0.007786929734978275,0.38788863554291025,0.13831210805140817,0.349114497718791,0.9780390912262267,True,48/32/16,48/32/16
three_layer,three_a050_050_050,perm012,15007,0.24367959725396834,0.006885963112407954,0.294552685013081,0.135336554604691,0.23734187447184982,0.971741733037948,True,48/32/16,48/32/16
three_layer,three_a050_050_050,perm021,15007,0.24367959725396834,0.006885963112407954,0.294552685013081,0.135336554604691,0.23734187447184982,0.971741733037948,True,48/32/16,48/32/16
three_layer,three_a050_050_050,perm102,15007,0.24367959725396834,0.006885963112407954,0.294552685013081,0.135336554604691,0.23734187447184982,0.971741733037948,True,48/32/16,48/32/16
three_layer,three_a050_050_050,perm120,15007,0.24367959725396834,0.006885963112407954,0.294552685013081,0.135336554604691,0.23734187447184982,0.971741733037948,True,48/32/16,48/32/16
three_layer,three_a050_050_050,perm201,15007,0.24367959725396834,0.006885963112407954,0.294552685013081,0.135336554604691,0.23734187447184982,0.971741733037948,True,48/32/16,48/32/16
three_layer,three_a050_050_050,perm210,15007,0.24367959725396834,0.006885963112407954,0.294552685013081,0.135336554604691,0.23734187447184982,0.971741733037948,True,48/32/16,48/32/16
three_layer,three_a090_020_040,perm012,15007,0.3068395756427583,0.00817286823507213,0.5132298769475397,0.2140018519501294,0.2995076457337869,0.9733643607805419,True,48/32/16,48/32/16
three_layer,three_a090_020_040,perm021,15007,0.3068395756427583,0.00817286823507213,0.5132298769475397,0.2140018519501294,0.2995076457337869,0.9733643607805419,True,48/32/16,48/32/16
three_layer,three_a090_020_040,perm102,15007,0.3068364105342214,0.008177482452087555,0.5132298769475397,0.2140018519501294,0.299499866408233,0.9733490479899369,True,48/32/16,48/32/16
three_layer,three_a090_020_040,perm120,15007,0.3068364105342214,0.008177482452087555,0.5132298769475397,0.2140018519501294,0.299499866408233,0.9733490479899369,True,48/32/16,48/32/16
three_layer,three_a090_020_040,perm201,15007,0.3068394844642578,0.008170928779705709,0.5132298769475397,0.2140018519501294,0.29950949401065297,0.973370673614668,True,48/32/16,48/32/16
three_layer,three_a090_020_040,perm210,15007,0.3068394844642578,0.008170928779705709,0.5132298769475397,0.2140018519501294,0.29950949401065297,0.973370673614668,True,48/32/16,48/32/16
two_layer,two_a010_090,normal,15007,0.05653938849536383,0.0025959665740296896,0.06267037590107216,0.22679459944562708,0.0580838195920281,0.9540856977212876,True,48/16,48/16
two_layer,two_a010_090,reverse,15007,0.05653938849536383,0.0025959665740296896,0.06267037590107216,0.22679459944562708,0.0580838195920281,0.9540856977212876,True,48/16,48/16
two_layer,two_a025_025,normal,15007,0.04099080757093324,0.0016827631091212898,0.052768406724604276,0.020424068458837413,0.03974169247469085,0.9589477932043831,True,48/16,48/16
two_layer,two_a025_025,reverse,15007,0.04099080757093324,0.0016827631091212898,0.052768406724604276,0.020424068458837413,0.03974169247469085,0.9589477932043831,True,48/16,48/16
two_layer,two_a050_050,normal,15007,0.16098248726891776,0.0042933537179899,0.19982235441241958,0.07926355570162892,0.15703930302292152,0.9733303057318407,True,48/16,48/16
two_layer,two_a050_050,reverse,15007,0.16098248726891776,0.0042933537179899,0.19982235441241958,0.07926355570162892,0.15703930302292152,0.9733303057318407,True,48/16,48/16
two_layer,two_a075_050,normal,15007,0.24422246169039274,0.006716381766903911,0.3421520070722111,0.1478363101233082,0.23782390097832848,0.9724989187300124,True,48/16,48/16
two_layer,two_a075_050,reverse,15007,0.24422246169039274,0.006716381766903911,0.3421520070722111,0.1478363101233082,0.23782390097832848,0.9724989187300124,True,48/16,48/16
